region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
1,Piedmont Avenue Elementary,Extended Learning Time,,High School Volunteers,Summer tutoring and classroom support,Summer Academic Support,11/11/2011,,,,,
1,Piedmont Avenue Elementary,Extended Learning Time,,OUSD," Summer Prep Program, ESY classes",Summer Prep Program,11/11/2011,,,,,
1,Piedmont Avenue Elementary,Health & Wellness,,Ann Martin Children's Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
1,Piedmont Avenue Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
1,Piedmont Avenue Elementary,School Culture,,Roots of Empathy,2 classes implementing Roots Empathy curriculum,Social Emotional Learning Curriculum,11/11/2011,,,,,
1,Piedmont Avenue Elementary,School Culture,Health & Wellness,TransForm,Safe Routes to Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
1,Piedmont Avenue Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
1,Piedmont Avenue Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:00am - 5:00pm,Early Childhood Education,11/11/2011,,,,,
1,Place at Prescott Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
1,Place at Prescott Elementary,"College, Career & Workforce",,Summer Youth Employment Program (YEP),2 student workers over the summer,Summer Internship,11/01/2011,,,,,
1,Place at Prescott Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
1,Place at Prescott Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
1,Place at Prescott Elementary,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program First 5 - K Camp for entering K's without past preK experiences, preK classes for 3 & 4 year olds",Summer Prep Program,11/11/2011,,,,,
1,Place at Prescott Elementary,Extended Learning Time,,Prescott Circus,After School circus theater,After School Arts Enrichment,11/11/2011,,,,,
1,Place at Prescott Elementary,Extended Learning Time,,Prescott Circus,Summer theater,Summer Enrichment,11/01/2011,,,,,
1,Place at Prescott Elementary,Family & Community Engagement,,Food Bank,Summer weekly grocery distribution to families,Summer Food Distribution,11/01/2011,,,,,
1,Place at Prescott Elementary,Health & Wellness,Extended Learning Time,Alameda County Public Health Department,"Summer Program Nutrition Education, Harvest of the Month and ""Cooking Cart""",Summer Nutrition,11/01/2011,,,,,
1,Place at Prescott Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/01/2011,,,,,
1,Place at Prescott Elementary,Health & Wellness,,OUSD,Nurse 0.5 FTE,Health Services,03/12/2012,,,,,
1,Place at Prescott Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/01/2011,,,,,
1,Place at Prescott Elementary,Health & Wellness,,STARS,Mental Health Services,Mental Health Services,11/01/2011,,,,,
1,Place at Prescott Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
1,Place at Prescott Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
1,Place at Prescott Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:00am - 3:00pm,Early Childhood Education,11/11/2011,,,,,
3,Reach Academy Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
3,Reach Academy Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
3,Reach Academy Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/01/2011,,,,,
3,Reach Academy Elementary,Extended Learning Time,,We Lead Ours,Summer Partnership,Summer,11/01/2011,,,,,
3,Reach Academy Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
3,Reach Academy Elementary,Health & Wellness,,OUSD,Mental Health Interns,Mental Health Services,11/11/2011,,,,,
3,Reach Academy Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
3,Reach Academy Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
3,Reach Academy Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:30am - 3:00pm,Early Childhood Education,11/01/2011,,,,,
2,Redwood Heights Elementary,Extended Learning Time,,OUSD, Summer Prep Program at Chabot,Summer Prep Program,11/11/2011,,,,,
2,Redwood Heights Elementary,Health & Wellness,,OUSD,Mental Health Interns,Mental Health Services,11/11/2011,,,,,
2,Redwood Heights Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/11/2011,,,,,
2,Redwood Heights Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
2,Redwood Heights Elementary,School Culture,Health & Wellness,TransForm,Safe Routes to Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
3,RISE Community Elementary School ,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
3,RISE Community Elementary School ,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,RISE Community Elementary School ,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
3,RISE Community Elementary School ,Health & Wellness,Family & Community Engagement,Lincoln Child Center,Mental Health Services & Family Engagement,Mental Health Services,11/11/2011,,,,,
3,RISE Community Elementary School ,Health & Wellness,,OUSD,Mental Health Interns,Mental Health Services,11/11/2011,,,,,
3,RISE Community Elementary School ,Health & Wellness,,OUSD,Nurse 1.0 FTE (Shared with New Highland Academy),Health Services,11/01/2011,,,,,
3,RISE Community Elementary School ,School Culture,,Oakland Police Department,Anti-Gang/Bullying Program ,Violence Prevention,11/11/2011,,,,,
3,RISE Community Elementary School ,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
3,RISE Community Elementary School ,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
2,Roosevelt Middle School,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
2,Roosevelt Middle School,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),"Summer Elev8 program, Summer EBAYC Enrichment, Algebra Academy",Summer Prep Program,11/11/2011,,,,,
2,Roosevelt Middle School,Extended Learning Time,,Elev8 Initiative,"Saturday School, Summer Programs",Saturday School/Summer Program,11/01/2011,,,,,
2,Roosevelt Middle School,Extended Learning Time,Accelerating Students through Targeted Approaches,Jair Learning,Supplemental Educational Service - math and English,SES Tutoring,11/01/2011,,,,,
2,Roosevelt Middle School,Extended Learning Time,Accelerating Students through Targeted Approaches,Sylvan Learning Center,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/01/2011,,,,,
2,Roosevelt Middle School,Extended Learning Time,,"UC Berkeley, Cal State East Bay",Interns from colleges,Academic Support,11/01/2011,,,,,
2,Roosevelt Middle School,Family & Community Engagement,,Elev8 Initiative,Elev8 Family Advocate,Family Advocate,11/01/2011,,,,,
2,Roosevelt Middle School,Family & Community Engagement,,Family Advocate ,ELL Class,Parent Classes,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,,?,Garden,Garden,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education & Summer Nutrition Program,Nutrition,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,,Alameda County Our Kids Program,Our Kids: Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,Family & Community Engagement,Alameda County Public Health Department,Case Manager and Family Advocate,Mental Health Services,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,,Asian Community Mental Health,Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,,La Clinica de la Raza,"School Based Health Center (SBHC) Roosevelt Middle School Health Center: medical, health education, nutrition and peer health education, and mental health",School Based Health Center/Health Services,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,,,,,
2,Roosevelt Middle School,Health & Wellness,,OUSD,Nurse 0.8 FTE,Health Services,03/12/2012,,,,,
2,Roosevelt Middle School,School Culture,,OUSD,Conflict mediation ,Violence Prevention,11/11/2011,,,,,
Transformation,Roots International Academy,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,Roots International Academy,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
Transformation,Roots International Academy,Extended Learning Time,,Elev8 Initiative,Saturday School,Saturday School,11/11/2011,,,,,
Transformation,Roots International Academy,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program 7th/8th grade, Elev8 Program",Summer Prep Program,11/01/2011,,,,,
Transformation,Roots International Academy,Family & Community Engagement,,Elev8 Initiative,Elev8 Family Advocate,Family Advocate,11/11/2011,,,,,
Transformation,Roots International Academy,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
Transformation,Roots International Academy,Health & Wellness,,Alameda County Our Kids Program,Our Kids Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,Roots International Academy,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/01/2011,,,,,
Transformation,Roots International Academy,Health & Wellness,,La Clinica de la Raza,School Based Health Center (SBHC) Havenscourt Middle School Campus,School Based Health Center/Health Services,11/01/2011,,,,,
Transformation,Roots International Academy,Health & Wellness,,OUSD,Nurse 0.6 FTE (Shared with CCPA),Health Services,11/11/2011,,,,,
Transformation,Roots International Academy,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/01/2011,,,,,
Transformation,Roots International Academy,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,,,,,
Transformation,Roots International Academy,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
Transformation,Roots International Academy,School Culture,,Real Choices,Gang Intervention,Violence Prevention,11/11/2011,,,,,
Transformation,Roots International Academy,School Culture,Transitions & Pathways PreK-12,Safe Passages,"Summer Bridge Program, History of gangs, and fund Right Choices student Interns",Summer Bridge/Violence Prevention,11/01/2011,,,,,
Transformation,Roots International Academy,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
High School,Rudsdale Continuation,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Rudsdale Continuation,"College, Career & Workforce",Extended Learning Time,Bay Area Driving School,After School Driving School,After School Enrichment,11/11/2011,,,,,
High School,Rudsdale Continuation,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Rudsdale Continuation,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
High School,Rudsdale Continuation,School Culture,,California Youth Outreach (CYO),Gang Intervention,Violence Prevention,11/11/2011,,,,,
1,Sankofa Academy Elementary,Balanced Literacy & Literacy Across the Curriculum,,Target,Raising a Reader,Academic Support,11/01/2011,,,,,
1,Sankofa Academy Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/01/2011,,,,,
1,Sankofa Academy Elementary,"College, Career & Workforce",Extended Learning Time,UC Berkeley SAGE Mentorship Program UC Berkeley,College mentors provide homework support - some during school day and some after school,Academic Support/Mentoring,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),"After School Lead Program OUSD. Offers: Leadership class; sports and fitness; dance, visual arts and drumming; gardening and nutrition; boys group; techgirlz; arts and crafts; academic intervention; homework support, destiny arts",After School Program,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Bay Area Community Resources (BACR),Extended Day Program Academic Intervention,After School Intervention,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),Extended Day Program Leadership Class,After School Enrichment,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),Extended Day Program: Homework Support,After School Homework Support,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Bay Area Community Resources (BACR),Saturday School first semester (one teacher) academic intervention for additional support ,Saturday School,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Bay Area Community Resources (BACR) & Destiny Arts,Extended Day Program Arts and Crafts,After School Arts Enrichment,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Bay Area Community Resources (BACR) & Opera Piccola,"Extended Day Program Dance, Visual Arts, and Drumming.",After School Arts Enrichment,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Berkeley Repertory Theater,Story Builders,Arts Enrichment,11/01/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Experience Corps,"Elders 55+ retired and want to volunteer 15-20hrs/week during school day. Serve as teacher assistants, or support for students.",Academic Support,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,Mills College Graduate School of Education,Graduate Student Internships Program ,Academic Support,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,Oakland Parks & Recreation (OPR) Bushrod Recreation Center,"After School support Bushrod: Collaborative planning and programming, satellite after school program for 50 students",After School Program,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/01/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,OUSD," Summer Prep Program, PreK Summer Camp, ESY",Summer Prep Program,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,,TechGyrls,Summer Program,Summer Program,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,"Science, Technology, Engineering & Mathematics (STEM)",UC Berkeley continuing education,Naturalist Instructor for PreK - 2nd graders,After School Enrichment,11/11/2011,,,,,
1,Sankofa Academy Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Visual Arts Language Arts (VALA),~3 artists; Workshops; support classrooms K-5,Arts Enrichment,11/01/2011,,,,,
1,Sankofa Academy Elementary,Family & Community Engagement,,Bay Area Community Resources (BACR),"Family Liaison - Adult Ed - computer literacy for parents, GED classes",Parent Workshops/Classes,11/11/2011,,,,,
1,Sankofa Academy Elementary,Family & Community Engagement,,OUSD,Parents and Children Together family literacy,Family Literacy,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,?,Asthma education ,Health Education,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,?,Dental services ,Health Services,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,Extended Learning Time,Bay Area Community Resources (BACR) & The Familyhood Connection (Mo' Better Foods),Extended Day Program Gardening and Nutrition,After School Gardening & Nutrition,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,Extended Learning Time,Bay Area Community Resources (BACR) & YMCA of the East Bay,Extended Day Program Sports and Fitness,After School Physical & Recreational Activity,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,Bechtel,Salad Bar,Salad Bar,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,Lincoln Child Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,OUSD,Hearing and Vision services once per semester,Health Services,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,School Day support ,Physical Education ,Physical & Recreational Activity,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,United States Tennis Association,Junior Tennis League,Physical & Recreational Activity,11/11/2011,,,,,
1,Sankofa Academy Elementary,Health & Wellness,,YMCA of the East Bay,Sports/Physical Education,Physical & Recreational Activity,11/01/2011,,,,,
1,Sankofa Academy Elementary,School Culture,,?,Guiding Principles to Guide Character Development,School Culture Curriculum,11/01/2011,,,,,
1,Sankofa Academy Elementary,School Culture,,?,Too Good for Drugs,School Culture Curriculum,11/01/2011,,,,,
1,Sankofa Academy Elementary,School Culture,Extended Learning Time,Bay Area Community Resources (BACR),Extended Day Program Boys Group,After School Enrichment,11/11/2011,,,,,
1,Sankofa Academy Elementary,School Culture,,Google Serve,Volunteer project - cleanup project,Volunteer beautification,11/01/2011,,,,,
1,Sankofa Academy Elementary,School Culture,,Mindful Schools,Mindfulness Classes conflict resolution workshops,Conflict Resolution,11/11/2011,,,,,
1,Sankofa Academy Elementary,School Culture,,Mosaic Peace Project,Conflict Resolution Program,Conflict Resolution,11/11/2011,,,,,
1,Sankofa Academy Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
1,Sankofa Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,Bay Area Community Resources (BACR),Extended Day Program TechGyrls,After School Enrichment,11/11/2011,,,,,
1,Sankofa Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)",,"Girls, Inc.",Operation Smart: Math/Science projects,Science & Math Education,11/01/2011,,,,,
1,Sankofa Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)",,"Lawrence Hall of Science, UC Berkeley",Science instructor 2x/wk 45 mins 3rd-5th grade,Science & Math Education,11/01/2011,,,,,
1,Sankofa Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)",,UCEE Naturalist Instructor,Science Workshops PreK-2nd Grade,Science & Math Education,11/01/2011,,,,,
1,Sankofa Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)",School Culture,YMCA of the East Bay,"Building Futures Mentorship Program: Berkeley YMCA Tech Girls Mentorship program – technology and hygiene, relationships",Technology Education/Mentoring,11/11/2011,,,,,
1,Sankofa Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)",School Culture,YMCA of the East Bay,"Building Futures Mentorship Program: Berkeley YMCA Tech Girls Mentorship program – technology and hygiene, relationships",Technology Education/Mentoring,11/11/2011,,,,,
1,Sankofa Academy Elementary,Strategic Operational Practices,,Oakland Fund For the Arts,Funding,Funding,11/11/2011,,,,,
1,Sankofa Academy Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
1,Sankofa Academy Elementary,Strategic Operational Practices,,Oakland Schoolyard Initiative & EBAYC,Playground Renovation for a multi-purpose outdoor classroom,Renovation,11/11/2011,,,,,
1,Sankofa Academy Elementary,Strategic Operational Practices,,Rogers Family Foundation (via Oakland Schools Foundation),Funding,Funding,11/11/2011,,,,,
1,Sankofa Academy Elementary,Strategic Operational Practices,,Wayne and Gladys Foundation,Funding,Funding,11/11/2011,,,,,
1,Sankofa Academy Elementary,Strategic Operational Practices,,Y & H Soda Foundation/Ask Initiative Fellowship ,Funding,Funding,11/11/2011,,,,,
1,Sankofa Academy Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 8:30am- 3:00pm,Early Childhood Education,11/11/2011,,,,,
1,Sankofa Academy Elementary,Transitions & Pathways PreK-12,Extended Learning Time,UC Berkeley SAGE Mentorship Program & Experience Corps,Every child in 3-5th grade has a mentor. College mentors provide homework support - some during school day and some after school,Academic Support/Mentoring,11/11/2011,,,,,
1,Santa Fe Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,"Art Esteem, The Attitudinal Healing Connection of Oakland","After School visual arts, fashion design, drumming, capoeira",After School Arts Enrichment,11/11/2011,,,,,
1,Santa Fe Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
1,Santa Fe Elementary,Extended Learning Time,Health & Wellness,Destiny Arts,After School Martial Arts and Hip Hop,After School Enrichment/Physical Activity,11/11/2011,,,,,
1,Santa Fe Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
1,Santa Fe Elementary,Extended Learning Time,,UC BUILD (Cal Corps Public Service Center - UC Berkeley),After School UC BUILD program tutoring,Tutoring,11/11/2011,,,,,
1,Santa Fe Elementary,Health & Wellness,,Lincoln Child Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
1,Santa Fe Elementary,Health & Wellness,,OUSD,Nurse .2 FTE,Health Services,03/12/2012,,,,,
1,Santa Fe Elementary,School Culture,,OUSD,Outreach Consultant,Outreach Consultant,11/11/2011,,,,,
1,Santa Fe Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
1,Santa Fe Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early childhood education 1:30pm - 5:00pm,Early Childhood Education,11/11/2011,,,,,
1,Sequoia Elementary,Extended Learning Time,,East Bay Agency for Children,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
1,Sequoia Elementary,Health & Wellness,,East Bay Agency for Children,Day Treatment Program ,Mental Health Services,11/11/2011,,,,,
1,Sequoia Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
1,Sequoia Elementary,Health & Wellness,,HEROs Inc.,School lunch and recess supervision and boys group,Physical & Recreational Activity,11/11/2011,,,,,
1,Sequoia Elementary,Health & Wellness,,Stop Waste,School yard/garden/waste reduction,Garden,11/11/2011,,,,,
1,Sequoia Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
1,Sequoia Elementary,School Culture,Health & Wellness,TransForm,Safe Routes to Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
1,Sequoia Elementary,Transitions & Pathways PreK-12,,OUSD,Childhood Development Center,Early Childhood Education,11/11/2011,,,,,
High School,Skyline High School,Accelerating Students through Targeted Approaches,Extended Learning Time,"Girls, Inc.",After School Girl Group,After School Girl Group,11/11/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",,College Summit,College and Career Prep,College Preparation,11/11/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",,College Track,College and Career Prep,College Preparation,11/01/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",,East Bay College Fund,Advising Program,College Advising,11/11/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",,Mills Educational Talent Search Program (METS),Academic and College Advising,College Advising,11/11/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",,Project SOAR,Academic program for class of 2011 through California State University East Bay Foundation; funded by US DOE Gear Up Initiative,"Academic Support, Counseling and College Tours",11/01/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",,Summer Search,"Summer Program, College Advising, Mentoring",Summer Program and Mentoring,11/11/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",Extended Learning Time,UC Berkeley Early Academic Outreach and Educational Guidance Center (EAOP),Tutors  & SAT Prep; Summer Program at UC Berkeley Campus; Academic advising and college counseling throughout high school,Academic Advising/College Counseling/Tutors,11/01/2011,,,,,
High School,Skyline High School,"College, Career & Workforce",,Upward Bound ,Extended Learning,College & Career Readiness,11/11/2011,,,,,
High School,Skyline High School,Extended Learning Time,,All The Way Live,Extended Learning,Extended Learning,11/01/2011,,,,,
High School,Skyline High School,Extended Learning Time,,East Bay Consortium ,Extended Learning,Extended Learning,11/01/2011,,,,,
High School,Skyline High School,Extended Learning Time,,Mix'd Ingredients,Extended Learning,Extended Learning,11/01/2011,,,,,
High School,Skyline High School,Extended Learning Time,,Pass 2,Extended Learning,Extended Learning,11/11/2011,,,,,
High School,Skyline High School,Extended Learning Time,,Youth Together,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Skyline High School,Family & Community Engagement,,District English Learner Advisory Council (DELAC),Family Engagement,District English Learner Advisory Council (DELAC),11/11/2011,,,,,
High School,Skyline High School,Family & Community Engagement,,Parent Leadership Action Network (PLAN),"Parent training, leadership development, organizing, and advocacy",Family Advocate,11/11/2011,,,,,
High School,Skyline High School,Family & Community Engagement,,Project Re-Connect,Family Engagement,Family Engagement,11/11/2011,,,,,
High School,Skyline High School,Family & Community Engagement,,YoCAL,"Parent workshops on drugs, sex & violence among children & adolescents",Parent Workshops,11/01/2011,,,,,
High School,Skyline High School,Health & Wellness,,Alameda County Health Care Services,Mental Health Services,Mental Health Services,11/01/2011,,,,,
High School,Skyline High School,Health & Wellness,,Alameda County Public Health Department,Extended Learning and Nutrition Program,Nutrition,11/01/2011,,,,,
High School,Skyline High School,Health & Wellness,,Fred Finch Youth Services ,exist? Mental Health,Mental Health Services,11/11/2011,,,,,
High School,Skyline High School,Health & Wellness,,Native American Health Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
High School,Skyline High School,Health & Wellness,,Native American Health Center,School Based Health Center (SBHC),School Based Health Center/Health Services,11/01/2011,,,,,
High School,Skyline High School,Health & Wellness,Extended Learning Time,Oakland Parks & Recreation (OPR),Extended Learning,After School Physical & Recreational Activity,11/11/2011,,,,,
High School,Skyline High School,Health & Wellness,,OUSD,Nurse 1.0 FTE,Health Services,11/01/2011,,,,,
High School,Skyline High School,School Culture,,Brothers on the RISE,School Climate/Violence Prevention,Violence Prevention,11/11/2011,,,,,
High School,Skyline High School,School Culture,"College, Career & Workforce",Build On ,Student Community Service,Community Service,11/01/2011,,,,,
High School,Skyline High School,School Culture,,California Youth Outreach (CYO),Gang Intervention,Violence Prevention,11/11/2011,,,,,
